,Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Krediye Uygunluk
216,0,9,8,1690000,120 M2,105 M2,3,7,3,
217,0,9,132,1969000,155 M2,140 M2,6,0,5,
218,0,9,227,2049000,220 M2,190 M2,10,0,7,
219,0,9,150,1669000,110 M2,100 M2,3,0,5,
220,0,9,132,1325000,105 M2,85 M2,3,0,5,
221,0,9,150,1800000,130 M2,110 M2,3,1,5,
222,0,9,8,1399000,135 M2,115 M2,3,4,7,
223,0,14,27,495000,110 M2,100 M2,3,7,16,
224,0,9,49,1200000,100 M2,90 M2,3,0,10,
225,0,9,61,990000,140 M2,130 M2,6,0,5,
226,0,7,35,1900000,95 M2,80 M2,3,0,5,Krediye Uygun Değil
227,0,7,35,939000,110 M2,100 M2,6,0,18,
228,0,14,119,695000,110 M2,100 M2,3,7,18,
229,0,7,35,1100000,145 M2,120 M2,6,0,5,
230,0,9,49,699000,100 M2,90 M2,3,6,3,
231,0,9,61,1250000,115 M2,100 M2,3,7,3,
232,0,9,61,705000,110 M2,100 M2,3,0,9,
233,0,9,150,1259000,105 M2,90 M2,3,0,5,
234,0,24,145,1825000,103 M2,92 M2,3,4,16,
235,0,18,15,670000,90 M2,85 M2,3,5,10,Krediye Uygun Değil
236,0,9,132,1456999,135 M2,125 M2,3,0,3,
237,0,23,59,2550000,125 M2,110 M2,6,6,3,
238,0,7,35,899000,100 M2,90 M2,3,6,5,
239,0,14,240,490000,110 M2,100 M2,1,8,18,
240,0,9,150,4510000,160 M2,145 M2,6,4,5,
241,0,9,227,1450000,105 M2,95 M2,3,0,5,
242,0,35,223,6500000,210 M2,190 M2,10,0,21,
243,0,29,207,650000,125 M2,120 M2,3,5,7,Krediye Uygun Değil
244,0,19,80,2900000,100 M2,72 M2,3,0,11,Bilinmiyor
245,0,3,249,1200000,180 M2,170 M2,10,2,21,
246,0,12,81,1250000,110 M2,100 M2,3,3,7,Bilinmiyor
247,0,14,268,439000,110 M2,100 M2,3,7,5,
248,0,9,227,899000,100 M2,90 M2,3,6,5,
249,0,14,61,709000,100 M2,90 M2,3,8,3,
250,0,3,249,765000,85 M2,80 M2,3,7,16,
251,0,27,260,695000,135 M2,125 M2,6,8,10,
252,0,14,61,1350000,95 M2,85 M2,1,7,4,
253,0,3,33,2350000,95 M2,85 M2,3,5,7,Krediye Uygun Değil
254,0,9,61,439000,110 M2,100 M2,3,7,5,
255,0,35,223,6250000,200 M2,195 M2,10,0,9,
256,0,25,175,1815000,125 M2,86 M2,3,7,18,
257,0,2,60,820000,105 M2,95 M2,3,8,3,
258,0,0,115,630000,105 M2,85 M2,3,2,18,
259,0,15,126,1600000,80 M2,75 M2,3,0,7,
260,0,15,126,1500000,80 M2,75 M2,3,0,7,
261,0,9,61,690000,110 M2,100 M2,3,0,5,
262,0,14,43,535000,100 M2,95 M2,3,8,16,
263,0,9,132,1890000,155 M2,135 M2,6,0,16,
264,0,3,249,1170000,200 M2,180 M2,12,2,21,
265,0,19,51,3845000,140 M2,125 M2,6,5,12,
266,0,3,249,900000,75 M2,60 M2,3,2,7,
267,0,3,249,875000,100 M2,85 M2,3,5,7,
268,0,23,269,1750000,110 M2,90 M2,3,5,3,
269,0,3,234,1570000,160 M2,155 M2,9,7,9,
270,0,14,181,469000,100 M2,95 M2,3,8,16,
271,0,9,41,180000,160 M2,140 M2,6,2,11,
272,0,27,191,900000,95 M2,90 M2,3,5,5,
273,0,3,283,760000,70 M2,65 M2,3,8,5,
274,0,33,213,1220000,95 M2,85 M2,3,4,5,
275,0,3,234,1170000,170 M2,160 M2,12,2,9,
276,0,3,234,1575000,130 M2,120 M2,6,7,5,
277,0,33,207,1600000,95 M2,85 M2,3,0,9,
278,0,24,224,875000,85 M2,75 M2,3,8,5,
279,0,7,35,1500000TLarrow_downward%,65 M2,55 M2,1,8,3,Krediye Uygun Değil
280,0,29,77,595000,100 M2,90 M2,3,2,18,
281,0,24,76,750000,100 M2,85 M2,3,8,18,
282,0,4,130,10950000,365 M2,350 M2,13,3,18,
283,0,3,283,875000,100 M2,90 M2,3,5,7,Krediye Uygun Değil
284,0,31,214,770000,90 M2,80 M2,3,3,3,
285,0,23,94,1250000,75 M2,65 M2,3,0,3,
286,0,14,219,1199000,100 M2,85 M2,3,7,9,
287,0,35,223,1665000,95 M2,90 M2,3,5,18,
288,0,17,119,860000,90 M2,75 M2,3,3,3,
289,0,35,33,2100000,125 M2,110 M2,6,5,9,
290,0,33,158,2350000,170 M2,160 M2,9,7,10,
291,0,24,87,765000,90 M2,70 M2,3,2,5,
292,0,29,77,850000,100 M2,80 M2,3,6,18,
293,0,23,91,975000,120 M2,100 M2,3,6,21,
294,0,20,26,1100000,100 M2,85 M2,3,5,18,
295,0,20,59,1395000,96 M2,72 M2,3,6,9,
296,0,23,91,975000,95 M2,85 M2,3,8,18,
297,0,18,15,600000,110 M2,100 M2,3,5,18,Krediye Uygun Değil
298,0,25,235,910000,150 M2,140 M2,6,8,18,
299,0,20,59,965000,55 M2,45 M2,1,6,9,
300,0,33,213,1250000,100 M2,75 M2,1,0,16,
301,0,3,249,650000,70 M2,65 M2,1,7,16,
302,0,14,23,1150000,66 M2,55 M2,1,0,3,
